timestamp,exg_1,exg_2,exg_3,exg_4,exg_5,exg_6,exg_7,exg_8
198076691,-2931.029052734375,-13095.685546875,5103.73046875,-4834.74951171875,-1206.9718017578125,8151.4130859375,-3035.769287109375,4844.427734375
198076694,-2922.133056640625,-13095.216796875,5124.22705078125,-4840.87353515625,-1201.450927734375,8158.07373046875,-3009.371826171875,4797.8017578125
198076698,-2902.396484375,-13071.0986328125,5189.96337890625,-4845.2099609375,-1182.92138671875,8176.3798828125,-2972.603271484375,4631.884765625
198076702,-2914.913330078125,-13059.1181640625,5166.35986328125,-4861.88427734375,-1187.168212890625,8169.11572265625,-3005.43798828125,4686.1328125
198076706,-2941.44482421875,-13076.6650390625,5101.31640625,-4852.0498046875,-1205.451904296875,8158.29736328125,-3031.075439453125,4836.89501953125
198076711,-2933.711181640625,-13083.951171875,5110.837890625,-4853.14501953125,-1202.166259765625,8157.0009765625,-3018.02197265625,4810.9892578125
198076715,-2938.807373046875,-13084.6220703125,5196.91455078125,-4837.185546875,-1171.9466552734375,8181.3642578125,-2975.53125,4650.705078125
198076718,-2927.162109375,-13073.6025390625,5224.876953125,-4843.82421875,-1181.71435546875,8162.87939453125,-3005.572021484375,4666.3515625
198076722,-2918.333251953125,-13076.4853515625,5109.720703125,-4857.16796875,-1206.1224365234375,8151.88232421875,-3040.440673828125,4830.90478515625
198076726,-2910.1748046875,-13067.6123046875,5089.291015625,-4850.2392578125,-1203.9990234375,8168.28857421875,-3018.089111328125,4813.224609375
198076730,-2906.531494140625,-13045.3046875,5169.421875,-4846.6630859375,-1180.3956298828125,8180.11279296875,-2993.14453125,4682.35498046875
198076734,-2933.06298828125,-13033.16796875,5208.0458984375,-4838.03515625,-1170.2479248046875,8168.400390625,-2999.693603515625,4636.712890625
198076738,-2938.628662109375,-13055.0947265625,5106.7255859375,-4838.5712890625,-1204.6248779296875,8157.3583984375,-3034.763427734375,4815.14697265625
198076742,-2917.595458984375,-13071.859375,5094.3203125,-4847.08740234375,-1207.351806640625,8165.5390625,-3019.765380859375,4833.94482421875
