timestamp,thumb,index,middle,ring,pinky
3687,0.0,0.0,1.0,1.0,1.0
8690,1.0,1.0,1.0,1.0,1.0
13695,1.0,0.0,0.0,0.0,0.0
18700,1.0,1.0,1.0,0.0,0.0
23705,1.0,0.0,0.0,0.0,0.0
28709,1.0,1.0,0.0,0.0,0.0
33712,0.0,0.0,1.0,1.0,1.0
38716,1.0,1.0,0.0,1.0,1.0
43720,0.0,0.0,0.0,1.0,1.0
48724,1.0,1.0,1.0,1.0,1.0
53728,0.0,1.0,0.0,1.0,1.0
58732,0.0,1.0,0.0,0.0,0.0
63735,0.0,0.0,1.0,0.0,0.0
68739,0.0,1.0,1.0,0.0,0.0
73743,0.0,0.0,0.0,0.0,0.0
78747,1.0,0.0,1.0,1.0,1.0
83752,1.0,0.0,1.0,0.0,0.0
88756,0.0,1.0,1.0,1.0,1.0
93759,1.0,0.0,0.0,1.0,1.0
98762,1.0,0.0,0.0,0.0,0.0
