timestamp,thumb,index,middle,ring,pinky
198365436,0,1,0,1,1
198370440,1,0,0,0,0
198375445,1,1,1,1,1
198380450,1,0,0,1,1
198385455,1,0,1,1,1
198390458,0,0,0,1,1
198395461,1,1,0,0,0
198400463,1,1,1,0,0
198405465,0,1,0,0,0
198410468,1,0,1,0,0
198415471,0,0,1,0,0
198420474,0,0,0,0,0
198425476,1,1,0,1,1
198430479,0,1,1,0,0
198435481,0,0,1,1,1
198440484,1,0,0,0,0
198445486,1,1,0,1,1
198450488,1,1,1,1,1
198455491,0,0,1,1,1
198460494,0,0,0,1,1
198465496,1,0,1,0,0
198470500,1,0,0,1,1
198475503,1,0,1,1,1
198480507,0,1,1,0,0
198485512,0,1,0,1,1
198490516,0,1,1,1,1
198495519,0,1,0,0,0
198500523,0,0,1,0,0
198505527,1,1,1,0,0
