timestamp,THUMB,INDEX,MIDDLE,RING,PINKY
126480.683426,171.5343490976373,167.62405400591413,173.29570415886457,179.4142016132729,175.93544455851904
126480.691056,172.18684293289468,166.66347118135883,172.8503297834584,179.4262731554741,175.72621308613182
126480.699611,170.76294144483327,167.70460808089226,173.57891578425208,179.48458770956685,176.2249936988847
126480.70724,173.2153003573031,165.86051104944482,172.59292116439906,179.7337998404487,175.29419298492726
126480.715604,173.78146140868637,166.64917516088582,172.93751088815895,179.35565627690085,175.65617979226366
126480.723185,172.25654340885447,165.97250320028158,172.58460616140354,179.4388882617578,175.5602085773804
126480.731548,171.98772816248098,166.13012514790194,172.5931276578825,179.13233436632294,175.55842774776735
126480.748608,172.01735289976958,166.2971894393152,172.1580894295186,178.52702258242195,175.54405800309374
126480.768582,173.23675913895318,166.1530411202387,171.87915351301072,179.28313508967855,175.67211892547977
126480.773206,170.64981318247862,166.38847287462445,172.5652298743674,179.90470312153832,175.42087456216723
126480.778967,174.19885394304106,166.45730679432575,172.09348072434005,178.58354112559832,175.30574067195218
126480.785532,172.57298238040042,166.92038184826222,172.4673582370395,178.65564467907376,176.37558466674113
126480.792943,173.176597518923,166.97685211565252,172.47902359328268,179.05377034117,175.59753647233063
126480.799775,169.95436042449268,167.1403610816321,172.67844282097514,179.3838159747228,175.80904147995187
126480.808866,172.46556850787337,166.66286871208098,171.8884612329555,178.71679750722402,176.40847534691352
126480.816991,171.07140672819457,166.89039473676297,172.75899825220148,178.8887429498379,175.92634514408496
126480.824924,171.8535989053797,166.84067746737543,173.12079949197494,178.7962958643727,175.3418015757652
126480.832905,169.79468331515787,167.2386980081375,173.16004322849562,179.15479311445736,175.82088606348012
126480.840875,171.36269794172875,167.11961995180897,172.9799279716629,178.99357974002226,175.53266025638095
126480.848854,172.98591161830257,166.89180967173166,172.7848979732061,179.3866922604338,175.0677730708926
126480.856848,172.4964099363723,166.9311673176087,172.82063359195195,179.2210741769098,175.37740753463893
126480.865004,170.44525501538106,166.1348388514437,172.7459232548247,179.26953260032818,174.87948266279682
