thumb_angle,thumb_percent,index_angle,index_percent,middle_angle,middle_percent,ring_angle,ring_percent,pinky_angle,pinky_percent,timestamp
,,,,,,,,,,1728847075.354183
,,,,,,,,,,1728847075.485823
,,,,,,,,,,1728847075.548693
,,,,,,,,,,1728847075.606229
,,,,,,,,,,1728847075.680842
,,,,,,,,,,1728847075.7260501
,,,,,,,,,,1728847075.794658
,,,,,,,,,,1728847075.855336
,,,,,,,,,,1728847075.9207392
,,,,,,,,,,1728847075.988394
167.86002971859384,100.0,172.50823663879885,100.0,175.51285902915703,100.0,177.98949911180011,100.0,174.05703519835288,100.0,1728847076.0557172
167.4403895406949,100.0,172.22807554421757,100.0,176.08789201349455,100.0,178.3783471686141,100.0,174.53918826778664,100.0,1728847076.13386
165.34755474119993,100.0,173.33759995089116,100.0,176.33539949729962,100.0,179.3773509026221,100.0,174.78347228728677,100.0,1728847076.189226
164.86764648688805,100.0,173.31657996572056,100.0,176.31579641058332,100.0,178.68631941920043,100.0,175.05544760073226,100.0,1728847076.2550242
164.70265542039434,100.0,172.37978375692643,100.0,176.07062330273266,100.0,178.6704644255828,100.0,175.27770358865186,100.0,1728847076.32242
164.53174646530044,100.0,171.44484582737348,100.0,175.38975363907647,100.0,178.38647155381855,100.0,174.85718920743503,100.0,1728847076.390056
167.4347185582573,100.0,171.13800165324213,100.0,174.9226673249138,100.0,177.64198870485203,100.0,174.43647163290234,100.0,1728847076.4567711
166.80188901841646,100.0,171.30995313807136,100.0,174.44672777134457,100.0,176.88954228799275,100.0,174.1292144990778,100.0,1728847076.523229
168.07243189383306,100.0,171.85566524320424,100.0,174.49665745257954,100.0,177.25275446076546,100.0,174.2964090835753,100.0,1728847076.5903869
166.4846211546378,100.0,172.62914101366553,100.0,174.68443736519535,100.0,177.54726323464942,100.0,174.80592616716046,100.0,1728847076.655811
168.8618222303389,100.0,172.1027779531035,100.0,174.6310693593417,100.0,177.72199888195024,100.0,175.01102585911931,100.0,1728847076.722257
167.01079895222662,100.0,171.98071009953745,100.0,174.66723104980153,100.0,178.10318897470918,100.0,175.04838271329913,100.0,1728847076.7886238
168.19544746766718,100.0,172.00173192542624,100.0,174.39574614433582,100.0,177.26751632432084,100.0,174.68140563934566,100.0,1728847076.856364
169.42860925614207,100.0,171.4529926656239,100.0,174.87631233310645,100.0,177.73960923489253,100.0,174.63247316762946,100.0,1728847076.923863
117.10300722880527,0.0,172.54341982236488,100.0,174.52948006938192,100.0,176.8488193098408,100.0,176.71711071344578,100.0,1728847076.9892921
105.37408242598534,0.0,172.0107369948588,100.0,174.09644561393594,100.0,176.1462659729639,100.0,177.288392923488,100.0,1728847077.058178
113.84827874103527,0.0,170.72224758070502,100.0,173.40238982703968,100.0,175.2574823392419,100.0,177.5848011216676,100.0,1728847077.123075
115.68487498576307,0.0,170.49617171565302,100.0,172.99078448268557,100.0,174.81164149588795,100.0,177.9184540448711,100.0,1728847077.189842
116.2553211524401,0.0,170.48961897703737,100.0,172.79456714277762,100.0,174.64217876013262,100.0,177.73363549996168,100.0,1728847077.256377
117.2448546607044,0.0,170.61530136618427,100.0,172.84708279301597,100.0,174.25017441155893,100.0,177.22392174112127,100.0,1728847077.322353
117.4588503575495,0.0,170.5363515450689,100.0,173.1679087712529,100.0,174.25804391751524,100.0,176.81724266397782,100.0,1728847077.389973
118.13797922036655,0.0,170.526720067752,100.0,172.9167110194688,100.0,173.9159349596472,100.0,176.36446237739483,100.0,1728847077.4580271
116.92121637013987,0.0,169.97334352306808,100.0,172.48069054444852,100.0,173.6625682275936,100.0,176.69227326801183,100.0,1728847077.523572
115.86485980472119,0.0,170.22132632552382,100.0,172.74263849673125,100.0,173.58144058600587,100.0,176.49681536986108,100.0,1728847077.585126
116.17032459625406,0.0,169.83956487064358,100.0,172.99360292120443,100.0,173.81765758675164,100.0,176.15273708673533,100.0,1728847077.62378
114.91659486184406,0.0,169.96123312097163,100.0,172.58182312178852,100.0,173.30875867023437,100.0,175.72781356369202,100.0,1728847077.690092
115.74887493538144,0.0,169.94734379776608,100.0,172.75822324565277,100.0,173.18796087602036,100.0,175.58897959546553,100.0,1728847077.756408
116.15558183641383,0.0,169.93629567391702,100.0,173.16198177094137,100.0,173.7169031268514,100.0,175.49116645590854,100.0,1728847077.8227699
116.34961882332796,0.0,170.42291061170855,100.0,173.04649332518454,100.0,174.17957309024868,100.0,176.0166019740557,100.0,1728847077.890503
114.04322946675259,0.0,170.626463038692,100.0,172.91464871710775,100.0,174.17340046746097,100.0,175.63523877025432,100.0,1728847077.956779
110.64188194182988,0.0,172.48184293392785,100.0,174.67371801648716,100.0,175.98325446678732,100.0,178.58617515320051,100.0,1728847078.023256
163.88980121427426,100.0,171.50880739335003,100.0,175.26664254193147,100.0,178.2977550444497,100.0,175.92598046441913,100.0,1728847078.089979
169.36968287118833,100.0,172.7682510801816,100.0,175.4877140969503,100.0,178.83811811725883,100.0,176.00129529536974,100.0,1728847078.156638
174.2646936386115,100.0,173.07734857170843,100.0,176.11295047964484,100.0,178.96989109719735,100.0,174.85682820434062,100.0,1728847078.223571
171.4626882962472,100.0,173.86750984131564,100.0,176.52495037070258,100.0,179.12813287675414,100.0,174.73691392054613,100.0,1728847078.28915
171.60083819265395,100.0,173.9501217053046,100.0,176.32242067435706,100.0,179.39047966938048,100.0,174.76140893347298,100.0,1728847078.356249
169.5293772067698,100.0,173.8885904773247,100.0,175.87662897816674,100.0,179.73910181831803,100.0,175.2213605520101,100.0,1728847078.423423
168.80214464915122,100.0,173.64418327172228,100.0,175.6652754163061,100.0,179.29082992364667,100.0,175.0069029243864,100.0,1728847078.489197
169.18962415458827,100.0,172.02849939383321,100.0,175.74361278458906,100.0,178.16547689898485,100.0,175.3835388139716,100.0,1728847078.5567942
171.11532907860146,100.0,168.63791526931468,100.0,174.7711187996881,100.0,176.05350678489057,100.0,175.55459682938604,100.0,1728847078.619522
172.47616557983696,100.0,42.24186904317515,12.315620745125107,163.29839833867646,97.2448513696239,172.2339295088494,100.0,175.37239742597677,100.0,1728847078.656899
171.11567708490884,100.0,23.854570044582218,0.0,17.798817634930327,1.835290252413329,167.27797267990545,99.8544083146921,171.68563158451533,100.0,1728847078.723478
171.3121430980683,100.0,25.30948187137059,0.22105847955042127,18.27689353436217,2.14878264548339,145.90923682138558,85.84212250582661,172.88449524372317,100.0,1728847078.7911308
170.86116148699787,100.0,24.459107664429354,0.0,18.393948200061832,2.225539803319234,149.67029747556302,88.30839178725444,171.84064534199706,100.0,1728847078.857535
173.0084884796802,100.0,26.03049861817011,0.7360704415500788,19.1917816982697,2.748709310340787,120.71565695538743,69.32174226582782,172.15913164353097,100.0,1728847078.924132
173.729299804419,100.0,25.443311745922205,0.31665124708728953,19.015052913759938,2.632821582793402,156.64094743064678,92.87930979058805,172.16906398017454,100.0,1728847078.99188
173.9026545773802,100.0,26.00891465443977,0.7206533245998361,19.22976673208573,2.7736175292365433,116.96064873299618,66.85944179212864,172.79972989740818,100.0,1728847079.057044
173.95217696119306,100.0,25.340027613774744,0.24287686698195998,18.736580682743046,2.450216841142981,110.18088388510347,62.41369435088752,172.37205681591823,100.0,1728847079.1239529
173.6918866968513,100.0,25.33388950618143,0.238492504415306,18.63099326641857,2.380979191094145,112.38049420989488,63.85606177698024,172.79062413280494,100.0,1728847079.191329
173.2128889058003,100.0,24.335893192611124,0.0,18.11900005429933,2.045245937245463,58.651912256101205,28.624204758099154,173.16987597534848,100.0,1728847079.2582479
172.29755208243375,100.0,24.45505353358455,0.0,17.989242698979655,1.960159146871905,114.42216360932281,65.19486138316249,172.5533053374412,100.0,1728847079.324556
172.01905436930318,100.0,22.408981610687416,0.0,15.310092498170302,0.20333934306249338,129.3737940847306,74.99920923588891,170.90755997358931,100.0,1728847079.38952
170.1067229907097,100.0,155.1880866718641,92.99149047990294,138.84199656674278,81.20786660114281,165.89980616029396,98.95069256412718,175.82204569852883,100.0,1728847079.457481
171.05939396066023,100.0,167.30296845616266,100.0,170.27096072545842,100.0,173.2681688231677,100.0,176.0001329339604,100.0,1728847079.5238569
171.79403530765347,100.0,170.25015737049176,100.0,171.00140787343895,100.0,175.02042541510318,100.0,175.42443208752334,100.0,1728847079.5906801
174.00882161074833,100.0,171.36908477841007,100.0,172.64049573630848,100.0,174.9423703114184,100.0,175.56242621693056,100.0,1728847079.654068
173.46019509380918,100.0,171.2762171625985,100.0,172.61654149150866,100.0,175.17609103316042,100.0,175.5512376338149,100.0,1728847079.723663
172.59890894861323,100.0,170.93308195280235,100.0,172.13728650794636,100.0,174.3510532737099,100.0,175.2142091626839,100.0,1728847079.790981
172.93824233949704,100.0,171.60046537395095,100.0,171.82514625940993,100.0,174.47667743064903,100.0,175.62634370956349,100.0,1728847079.857036
171.07803604287483,100.0,168.98380877624675,100.0,173.20426199100888,100.0,174.2549326743939,100.0,175.62444228834624,100.0,1728847079.9246662
173.1208423369545,100.0,37.32211618195872,8.801511558541943,172.41032516616144,100.0,175.24452012339322,100.0,174.6758045253538,100.0,1728847079.991061
169.31601086574753,100.0,35.280552359725725,7.343251685518375,175.2419770354005,100.0,176.82240442350383,100.0,172.83724767248862,100.0,1728847080.057527
167.51683383022407,100.0,34.691061965191594,6.922187117993996,169.63549432386944,100.0,174.87536798978456,100.0,173.13449827771416,100.0,1728847080.124898
171.4221090905538,100.0,32.28740809471321,5.205291496223719,168.07849508478336,100.0,175.61837914098905,100.0,173.76318784389525,100.0,1728847080.19168
171.1110452737587,100.0,30.81761396133991,4.1554385438142205,167.24238708678845,99.83107349953342,175.736130729777,100.0,173.8224363143399,100.0,1728847080.257096
169.3859821916872,100.0,31.709770039985308,4.792692885703791,166.5407442835611,99.37097985807286,175.7061595420392,100.0,174.79438076068544,100.0,1728847080.323678
169.91700997515528,100.0,31.726882400069584,4.804916000049704,166.822421657864,99.55568633302558,175.02027291046218,100.0,174.58777992208584,100.0,1728847080.391374
169.1995696349484,100.0,32.32486051721356,5.232043226581113,167.04630489418074,99.70249501257753,174.72758556583062,100.0,174.50818545634445,100.0,1728847080.457891
167.75405132827723,100.0,33.53637099654698,6.097407854676413,166.99692311061017,99.67011351515421,174.43691012588107,100.0,174.60286284118882,100.0,1728847080.524191
167.09772629658136,100.0,34.203693806050296,6.57406700432164,167.55834623682463,100.0,175.18308734725417,100.0,174.2124681890851,100.0,1728847080.590972
168.89002329127732,100.0,33.446522613353736,6.033230438109811,166.5264573529171,99.36161137896204,174.87148807581758,100.0,174.50058029676978,100.0,1728847080.657902
169.2351760217742,100.0,33.95093490777311,6.39352493412365,168.1717114217501,100.0,174.27680145238054,100.0,174.26401604430802,100.0,1728847080.725444
174.9947563994885,100.0,105.29125018608019,57.350892990057275,171.80086402525686,100.0,174.64241464720155,100.0,175.92405303062569,100.0,1728847080.7917938
170.27185620661803,100.0,168.46731395123507,100.0,173.77872915229597,100.0,175.7077431440046,100.0,175.43408831243272,100.0,1728847080.857208
169.80878853286669,100.0,170.5660893506524,100.0,172.76544960604,100.0,174.97694654949075,100.0,174.52383535601416,100.0,1728847080.927186
169.6352478871761,100.0,171.0520154086114,100.0,172.28336363394016,100.0,175.47410163374926,100.0,175.25761775903334,100.0,1728847080.9912288
171.5375935682634,100.0,171.32256044088626,100.0,171.29981636173542,100.0,175.02067048517324,100.0,175.96231371192286,100.0,1728847081.058254
170.68829650413122,100.0,171.08215092916964,100.0,170.24458020898132,100.0,175.1223567542802,100.0,175.94645459471536,100.0,1728847081.125175
169.0859192255954,100.0,168.30325288117655,100.0,164.23038692550844,97.85599142656292,175.82820914823245,100.0,175.03188589724363,100.0,1728847081.1904051
167.76367526921715,100.0,167.1797035534088,100.0,22.25347157109923,4.756374800720806,168.29686760180098,100.0,169.14376909928072,100.0,1728847081.258861
172.04795109795006,100.0,164.80752255969554,99.86251611406824,25.32216701329449,6.768634107078355,170.65665218826715,100.0,169.60883812496672,100.0,1728847081.3247502
171.02716289920272,100.0,163.05970077715168,98.61407198367976,28.87749601350412,9.099997385904341,178.71342561255022,100.0,171.55368356059645,100.0,1728847081.390939
173.17810826913768,100.0,161.99629876657048,97.85449911897891,27.215976943398534,8.01047668419576,175.07099742940107,100.0,171.8083572852451,100.0,1728847081.4571671
172.82795388743446,100.0,162.07392416806664,97.90994583433331,26.45167307795048,7.509293821606873,169.5815469088955,100.0,170.5440805389441,100.0,1728847081.525708
172.90050994790698,100.0,162.07873032026498,97.91337880018928,25.914983648045588,7.157366326587271,172.77666267162334,100.0,171.07316752172073,100.0,1728847081.5909472
172.6671727685248,100.0,160.67903727236106,96.91359805168646,26.46720257134332,7.519477095962834,171.27316928645217,100.0,171.0506011202849,100.0,1728847081.657613
172.4577571201611,100.0,160.7044442042623,96.93174586018736,26.564163535888877,7.583058056320575,170.94028549201926,100.0,170.88030800945742,100.0,1728847081.721387
172.74938662092524,100.0,160.71210557170207,96.93721826550149,25.868709470677416,7.127022603722896,173.76972287095924,100.0,170.9546657259351,100.0,1728847081.7591848
172.60258231435327,100.0,160.5978242665823,96.8555887618445,26.241254791487048,7.371314617368556,173.66138248607373,100.0,171.3741885153183,100.0,1728847081.825648
173.5383991139676,100.0,161.61682069595307,97.58344335425218,25.0691049935746,6.602691799065312,168.2408856138508,100.0,171.5973337024234,100.0,1728847081.8913522
168.41696518494183,100.0,161.341940681806,97.38710048700429,23.155856971293925,5.348102931996017,173.66299552753708,100.0,173.56318582180822,100.0,1728847081.9599092
167.48022491575645,100.0,168.0643642295998,100.0,168.58782066015755,100.0,172.02210480039267,100.0,177.2834105090263,100.0,1728847082.0248032
166.32754977866603,100.0,170.11478270671302,100.0,173.9405872866005,100.0,175.68601413092523,100.0,176.0675041346922,100.0,1728847082.092387
167.52088467109039,100.0,171.72131539648456,100.0,174.58421544727528,100.0,175.66836250280124,100.0,175.9902341351947,100.0,1728847082.15966
166.95739123672917,100.0,171.80813621424073,100.0,175.150458980024,100.0,174.57149777442098,100.0,175.2850743071001,100.0,1728847082.226655
166.1177572373774,100.0,171.87220344783051,100.0,175.85698892207535,100.0,174.95060103210434,100.0,174.94535269010447,100.0,1728847082.29171
165.91629217436133,100.0,171.26573016759085,100.0,175.45388261710156,100.0,165.882966143261,98.9396499300072,173.5773546285675,100.0,1728847082.359031
162.08216647099954,100.0,169.8527508442305,100.0,175.20036064541412,100.0,14.986206404218136,0.0,168.86451797356546,100.0,1728847082.425544
163.55707047177526,100.0,167.93603960426537,100.0,173.7685729293422,100.0,17.484213935548393,1.628992744621897,167.3770997630219,99.9194096806701,1728847082.492105
163.71374082289844,100.0,169.66437128917244,100.0,172.5155270983065,100.0,18.990867457417007,2.6169622671586934,167.53420424906537,100.0,1728847082.55984
160.79637646788575,100.0,169.21022297229567,100.0,171.05990827016078,100.0,20.13441399689812,3.366828850424998,166.55410954447183,99.37974396358808,1728847082.625482
161.00694740163175,100.0,168.8768535747009,100.0,170.56644925589254,100.0,20.33658631632542,3.499400863164209,166.5244906919275,99.36032176519835,1728847082.692817
158.1343314806966,100.0,168.57671538363897,100.0,171.5767932690559,100.0,21.656084617573118,4.364645650867619,165.6484518558834,98.78587006943174,1728847082.756095
160.53559717186613,100.0,168.80794553609596,100.0,171.64821031616907,100.0,22.311189044978395,4.794222324575997,165.31480163981186,98.56708304249958,1728847082.826451
158.73784970069977,100.0,168.24267759084412,100.0,171.57625506642756,100.0,23.18014128538278,5.364027072382151,164.8897237959458,98.28834347275134,1728847082.892599
