thumb_angle,thumb_percent,index_angle,index_percent,middle_angle,middle_percent,ring_angle,ring_percent,pinky_angle,pinky_percent,timestamp_hand
131.70786502009204,0.0,51.76876198100795,19.120544272148535,45.87653529372303,20.246908389326578,39.14330001193336,15.831672138972696,50.64220904205762,23.37194035544762,1728712004.8825321
99.77647923162769,0.0,21.206673953333006,0.0,14.970636173412279,0.0,21.52343768979101,4.277664058879351,32.992410846632545,11.798302194513145,1728712005.01812
96.92761439739549,0.0,19.561990358028762,0.0,17.274975101935496,1.4917869520888498,24.001590923338245,5.902682572680817,34.702593407642006,12.91973338206033,1728712005.0929961
92.28178869215891,0.0,20.6881324500684,0.0,19.253192594359497,2.78897875039967,25.817954863469794,7.093740894078553,35.598591062419366,13.507272827815978,1728712005.1542861
98.43867352883724,0.0,24.580044615756552,0.0,25.673875373681938,6.999262540119304,33.1941393758635,11.930583197287541,40.4286890823166,16.674550217912525,1728712005.221471
99.47046682840016,0.0,26.1728237240231,0.8377312314450717,27.4934994786779,8.192458674542886,34.67890594612993,12.90420062041307,42.94223745434026,18.322778658583776,1728712005.29616
91.69996026880372,0.0,21.18126225544372,0.0,26.295435676579032,7.406843066609202,35.63676701915297,13.532306242067522,42.242527052412385,17.863952165516316,1728712005.3601768
99.35388945570122,0.0,27.547912820011177,1.8199377285794123,29.623892691556602,9.58943783052892,39.12634996930929,15.820557356924123,46.544693090751885,20.68504464967337,1728712005.42642
97.95099971708814,0.0,33.16642842170829,5.833163158363064,37.008885552749184,14.432056100163399,43.86266661058263,18.92633876103779,49.33062392039431,22.511884537963482,1728712005.495183
97.53352909775852,0.0,27.716083193622286,1.9400594240159181,32.982159623686016,11.791580081105584,42.779642915856314,18.216159289086107,49.47236207364876,22.604827589277875,1728712005.5635421
83.71939646919081,0.0,18.87600908401544,0.0,24.112696542376202,5.975538716312264,35.82232819522642,13.653985701787816,48.66863195773608,22.07779144769579,1728712005.6323352
78.25042923907189,0.0,21.746582528976315,0.0,28.121997403871127,8.604588461554838,39.1230658251662,15.818403819781116,56.74406300966599,27.373156071912124,1728712005.699723
73.1965417841265,0.0,15.420652052545549,0.0,22.30818437383014,4.792252048413207,36.59393402048808,14.159956734746281,55.07491877427779,26.278635261821503,1728712005.768565
82.32617844669507,0.0,12.00876425174047,0.0,7.810494000650358,0.0,16.584471066387,1.0389974205816392,33.458925961736824,12.104213745401196,1728712005.838551
