timestamp,thumb_angle,thumb_percent,index_angle,index_percent,middle_angle,middle_percent,ring_angle,ring_percent,pinky_angle,pinky_percent,emg_channel_1,emg_channel_2,emg_channel_3,emg_channel_4,emg_channel_5,emg_channel_6,emg_channel_7,emg_channel_8
1728444748.493131,,,,,,,,,,,,,,,,,,
1728444748.5479438,,,,,,,,,,,9.404396057128906,-20.454055786132812,-24.846864700317383,22.482192993164062,63.13752746582031,20.240917205810547,-74.94544982910156,-130.26058959960938
1728444748.6088572,,,,,,,,,,,8.532421112060547,-14.045084953308105,-32.995635986328125,-1.991485357284546,60.21207046508789,19.14107894897461,-24.71112632751465,-89.17459106445312
1728444748.659292,,,,,,,,,,,7.210473537445068,-8.65170669555664,-39.49372482299805,-24.818449020385742,22.621231079101562,73.39891052246094,65.89041137695312,-34.7536506652832
1728444748.718771,,,,,,,,,,,7.042538642883301,-5.602542400360107,-44.94646072387695,-41.087921142578125,9.264532089233398,74.29656982421875,95.90579986572266,-14.319148063659668
1728444748.765408,,,,,,,,,,,6.090021133422852,2.5070924758911133,-38.45634460449219,-50.8350715637207,-55.005958557128906,-12.902237892150879,11.199462890625,49.59885787963867
1728444748.807734,,,,,,,,,,,4.628981590270996,11.754385948181152,-20.624113082885742,-54.685997009277344,-72.16785430908203,-55.70345687866211,-1.84086275100708,58.496551513671875
1728444748.8571148,,,,,,,,,,,3.236887216567993,17.712709426879883,-2.578573226928711,-24.19231414794922,-42.66326141357422,-69.79280090332031,-39.65049743652344,3.695281982421875
1728444748.891708,,,,,,,,,,,2.1525039672851562,23.288299560546875,10.446257591247559,-10.310062408447266,-35.896053314208984,-31.784137725830078,-61.28230667114258,-123.00364685058594
1728444748.9256241,,,,,,,,,,,1.5887821912765503,24.830726623535156,26.18208122253418,8.608437538146973,-10.363640785217285,-25.39251708984375,-44.083797454833984,-131.36367797851562
1728444748.967498,,,,,,,,,,,0.12298992276191711,30.300670623779297,39.9835205078125,40.4745979309082,57.12846755981445,77.20946502685547,65.30525970458984,49.48310470581055
1728444749.008631,,,,,,,,,,,-1.180760383605957,29.738765716552734,43.448490142822266,50.27143478393555,68.10182189941406,73.4737777709961,105.10149383544922,156.404052734375
1728444749.0533519,,,,,,,,,,,-2.8063461780548096,25.004112243652344,36.416099548339844,39.85666275024414,47.9581298828125,47.15925216674805,49.15924835205078,77.2385025024414
1728444749.095477,,,,,,,,,,,-3.692312717437744,22.59992790222168,37.73561477661133,37.693321228027344,44.50653839111328,13.26529312133789,-0.5751203298568726,-64.20384979248047
1728444749.137484,,,,,,,,,,,-4.418911933898926,21.648296356201172,32.34804916381836,27.411144256591797,5.881411552429199,-16.624113082885742,-83.3076400756836,-125.63836669921875
1728444749.179093,,,,,,,,,,,-5.61292839050293,13.973349571228027,11.516725540161133,-12.50794506072998,-51.56661605834961,-59.36082077026367,-44.44478225708008,-62.98564529418945
1728444749.221782,,,,,,,,,,,-6.878876686096191,6.228886127471924,-3.068531036376953,-43.939842224121094,-61.493812561035156,-81.53923797607422,15.811858177185059,38.41231155395508
