timestamp,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
75,5649.247,-5217.769,876.18835,5619.7427,-4564.807,2794.281,-6930.963,-7020.3926
79,5657.9194,-5227.358,872.5674,5616.5015,-4566.327,2794.6162,-6927.3423,-7030.0034
83,5659.6406,-5202.2344,880.5246,5606.242,-4575.3125,2791.1294,-6926.113,-7029.959
87,5663.9097,-5163.7,878.9376,5607.0693,-4580.1406,2793.4316,-6923.945,-7035.614
91,5653.9185,-5210.102,870.13104,5619.832,-4568.54,2802.0593,-6926.7607,-7029.8247
95,5658.635,-5236.3433,871.3381,5621.62,-4556.6045,2804.3394,-6932.729,-7015.028
100,5648.5317,-5220.786,876.72485,5613.529,-4557.163,2800.1372,-6930.963,-7022.538
104,5662.993,-5219.043,877.7083,5608.9243,-4560.3145,2795.5103,-6926.6045,-7029.0874
107,5709.552,-5223.7593,873.93085,5608.8125,-4570.1943,2788.4473,-6920.525,-7026.74
111,5746.4995,-5210.795,869.61694,5609.282,-4582.2866,2785.1838,-6914.758,-7025.0415
115,5685.1885,-5186.6777,876.546,5607.986,-4567.9365,2793.5435,-6911.785,-7024.5723
119,5592.1157,-5212.3823,877.82007,5612.836,-4542.746,2811.6482,-6922.1343,-7025.4663
122,5599.09,-5208.3813,870.1534,5614.624,-4554.436,2806.5073,-6928.415,-7026.7627
126,5635.1655,-5205.408,863.06793,5613.8643,-4561.902,2801.21,-6922.626,-7021.9795
130,5648.688,-5206.459,868.05237,5605.3257,-4558.7275,2799.1985,-6912.858,-7024.505
134,5653.9634,-5212.7173,875.2049,5601.906,-4555.375,2800.5396,-6912.0312,-7020.5938
138,5651.9517,-5211.823,873.14856,5607.874,-4563.198,2800.9866,-6919.899,-7010.222
142,5628.974,-5208.001,861.3021,5611.6514,-4570.06,2801.2993,-6923.967,-7014.134
146,5631.723,-5211.354,862.3079,5605.728,-4563.4214,2802.3948,-6919.0493,-7021.7783
150,5629.1973,-5215.2876,870.22046,5603.9624,-4558.795,2804.205,-6914.758,-7013.5303
154,5629.466,-5231.001,868.25354,5603.5825,-4561.4097,2798.4385,-6910.064,-7011.899
158,5656.623,-5232.096,860.1175,5603.56,-4571.759,2788.0671,-6909.8853,-7014.447
162,5665.4966,-5166.2036,858.84344,5599.358,-4588.053,2783.6863,-6912.2544,-7016.95
166,5637.87,-5191.081,863.2467,5596.3853,-4571.133,2797.4548,-6910.9805,-7020.817
170,5598.1284,-5251.8774,869.8405,5601.995,-4555.71,2801.4783,-6917.485,-7019.99
174,5577.632,-5224.4746,872.6121,5597.3687,-4592.9707,2778.277,-6922.067,-7016.369
178,5685.0547,-5100.1987,873.3944,5559.9517,-4625.3804,2766.1626,-6920.055,-7036.0386
183,5743.8394,-5113.677,869.05817,5452.1045,-4600.682,2769.6494,-6906.3984,-7028.6177
187,5680.964,-5230.666,864.0737,5596.72,-4558.102,2784.2227,-6895.245,-7023.678
191,5681.635,-5254.046,869.57227,5677.8125,-4536.7783,2825.7969,-6899.7153,-7026.584
194,5645.581,-5237.5503,866.1077,5632.26,-4542.478,2823.5842,-6912.478,-7016.816
198,5621.1284,-5227.1567,874.7802,5622.045,-4541.651,2819.628,-6911.137,-7020.817
202,5620.8154,-5224.5415,877.44006,5617.5073,-4551.2397,2813.8835,-6905.169,-7026.8745
206,5634.1147,-5225.3906,870.1087,5619.7427,-4552.648,2813.5928,-6899.514,-7025.444
210,5656.422,-5224.8096,862.7326,5619.318,-4555.6206,2813.1682,-6897.8823,-7015.542
214,5645.1343,-5224.206,871.53925,5611.249,-4552.1787,2809.279,-6896.385,-7008.0317
218,5642.787,-5226.352,875.04846,5603.828,-4549.4517,2807.4685,-6905.1914,-7016.3916
222,5686.3955,-5210.572,867.8512,5603.56,-4556.1123,2806.284,-6902.8667,-7019.588
226,5669.207,-5217.97,855.2225,5605.6836,-4558.5044,2807.9155,-6907.047,-7020.549
230,5631.008,-5225.0557,858.84344,5598.8213,-4551.2847,2809.9272,-6908.0747,-7015.3633
234,5630.2705,-5218.842,867.29236,5593.189,-4551.7314,2804.451,-6903.8506,-7020.9062
238,5636.797,-5217.881,861.168,5597.972,-4555.5986,2800.5396,-6908.276,-7020.9287
242,5654.8574,-5221.77,852.4508,5571.865,-4556.2466,2798.3489,-6915.585,-7013.5527
247,5650.789,-5232.1636,858.5305,5456.597,-4557.655,2776.7795,-6911.9863,-7013.486
251,5668.514,-5210.5493,860.45276,5525.9995,-4575.76,2756.9983,-6898.8438,-7021.9346
255,5686.261,-5193.9644,855.26715,5685.032,-4561.678,2801.7688,-6912.009,-7026.2036
259,5626.828,-5218.998,845.6782,5640.865,-4541.025,2818.8008,-6923.3857,-7023.03
263,5623.453,-5217.5005,848.2487,5625.42,-4544.0425,2811.6482,-6923.162,-7024.3037
267,5606.354,-5211.242,862.9338,5592.988,-4559.3086,2788.045,-6925.7773,-7022.3594
271,5590.7974,-5189.874,868.1641,5581.7,-4574.329,2784.7144,-6928.996,-7017.911
275,5692.967,-5179.726,860.09515,5570.1216,-4574.6646,2807.1333,-6919.4517,-7021.1074
279,5758.48,-5200.8486,848.7181,5571.91,-4567.6016,2799.936,-6902.6655,-7027.3213
283,5669.833,-5200.2676,852.2273,5620.257,-4563.9805,2810.5754,-6879.554,-7037.648
287,5617.351,-5235.4717,847.7793,5607.203,-4536.9346,2818.9573,-6889.344,-7059.374
291,5644.5083,-5228.095,836.9387,5590.3726,-4551.2847,2805.0544,-6933.444,-7036.9775
