timestamp,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
42,11894.279,-6690.816,5303.756,4706.5396,-3425.4941,2484.1057,2019.4578,-5902.023
46,11960.598,-6685.228,5272.2847,4729.607,-3372.4758,2521.746,2086.3342,-5970.8213
50,11846.671,-6759.033,5229.8613,4738.1226,-3383.227,2486.341,2052.5159,-6026.634
55,11731.045,-6767.7954,5260.349,4712.9546,-3457.7703,2440.7212,1981.5715,-5877.3467
58,11931.965,-6604.9404,5301.275,4729.942,-3454.7527,2488.8892,2046.4363,-5932.153
62,12091.713,-6698.7954,5297.4526,4752.629,-3313.445,2539.985,2126.7239,-5947.4863
66,12016.969,-6753.088,5267.3896,4737.631,-3358.2603,2493.3372,2081.0144,-5868.406
70,11984.29,-6710.6865,5263.8584,4732.1104,-3391.4302,2493.8289,2054.1924,-5870.507
74,12003.4,-6670.0063,5304.0913,4733.988,-3360.3835,2523.579,2077.1252,-5903.073
78,11953.69,-6751.881,5301.3643,4739.7993,-3334.098,2521.545,2092.9727,-5915.2104
82,11964.062,-6756.91,5270.3403,4744.3813,-3360.6294,2492.8005,2082.7356,-5901.151
86,11978.434,-6694.0347,5248.7705,4748.36,-3393.1064,2487.3245,2065.5024,-5897.9326
90,11964.956,-6706.8423,5294.525,4744.493,-3342.2117,2525.993,2075.7617,-5911.0083
94,11948.349,-6743.298,5309.5005,4739.911,-3324.7996,2521.0757,2083.138,-5911.567
98,11906.506,-6751.3223,5288.2886,4726.12,-3361.5906,2490.6772,2061.5015,-5898.156
102,11871.168,-6735.139,5263.2324,4715.19,-3396.8616,2469.7336,2036.4451,-5888.9473
106,11985.318,-6707.848,5310.2383,4705.78,-3361.881,2495.9746,2077.8628,-5904.973
110,12133.175,-6737.71,5333.797,4706.026,-3335.819,2494.924,2130.6353,-5904.5933
114,12193.569,-6666.654,5302.5938,4715.6816,-3374.8228,2468.929,2103.545,-5915.881
118,11912.966,-6685.675,5260.729,4739.933,-3368.2068,2479.6802,2037.4509,-5944.737
122,11786.32,-6712.698,5300.962,4759.491,-3337.1377,2526.3284,2019.1448,-5918.25
126,11801.899,-6709.8594,5330.422,4750.0586,-3359.6685,2517.723,2035.5957,-5967.603
130,11722.618,-6588.5117,5331.539,4723.8623,-3423.7507,2458.2002,2001.6881,-5998.2246
134,11821.592,-6470.1147,5318.2397,4737.698,-3483.8994,2434.865,1988.4783,-5845.0034
138,12009.548,-6686.189,5319.1343,4749.3657,-3378.1755,2505.273,2042.5918,-5897.2173
142,11995.153,-6678.2095,5367.5703,4710.496,-3358.7073,2518.5723,2062.0154,-5957.88
146,11990.28,-6711.0664,5368.889,4676.052,-3390.1785,2497.4946,2070.4421,-5927.258
150,11946.762,-6740.571,5332.366,4737.7427,-3400.5273,2486.4304,2055.377,-5879.492
154,11952.35,-6754.496,5344.0786,4775.8076,-3364.3623,2525.7695,2045.8328,-5896.077
158,11925.125,-6728.769,5381.808,4754.3726,-3371.0007,2548.1882,2058.551,-5937.5845
162,11909.881,-6735.3403,5379.439,4758.6865,-3391.9666,2524.3613,2061.3672,-5905.845
