timestamp,emg_channel_1,emg_channel_2,emg_channel_3,emg_channel_4,emg_channel_5,emg_channel_6,emg_channel_7,emg_channel_8
119534.80710927934,13981.8427734375,5173.73583984375,4668.5419921875,34.1311149597168,-383.0865478515625,11386.4482421875,6382.49609375,-8846.41796875
119534.81110924951,14054.6650390625,5159.98974609375,4437.93896484375,1001.9840087890625,-742.9719848632812,11184.1650390625,6146.9306640625,-8963.98828125
119534.81510924453,14039.599609375,5199.37353515625,4387.6025390625,992.1492309570312,-678.2413330078125,11214.943359375,6195.5908203125,-8833.119140625
119534.81910924354,13984.837890625,5178.6533203125,4596.88232421875,119.58183288574219,-378.4597473144531,11380.591796875,6395.75048828125,-8765.7060546875
119534.82310924353,13972.3212890625,5153.462890625,4663.44580078125,-35.76279067993164,-345.91558837890625,11390.1357421875,6402.2998046875,-8818.634765625
119534.82710924382,14045.2998046875,5154.53564453125,4476.11572265625,793.553955078125,-680.7447509765625,11213.04296875,6177.66455078125,-8923.017578125
119534.83110924417,14064.9248046875,5199.216796875,4356.265625,1124.1810302734375,-761.9486083984375,11173.7490234375,6149.32275390625,-8815.3935546875
119534.83510924454,13974.66796875,5206.01171875,4580.3193359375,225.61851501464844,-408.6792907714844,11364.029296875,6364.8603515625,-8721.4052734375
119534.83910924486,13946.572265625,5176.41796875,4667.513671875,-52.07956314086914,-360.3995361328125,11398.25,6408.35693359375,-8767.4716796875
119534.84310924516,14009.8056640625,5141.37060546875,4517.376953125,574.9539184570312,-629.134521484375,11241.2958984375,6230.7275390625,-8860.25390625
119534.84604048173,14061.080078125,5160.72705078125,4324.302734375,1223.847412109375,-813.2235107421875,11091.427734375,6113.13525390625,-8802.0947265625
119534.84925752098,13985.888671875,5196.244140625,4521.7578125,305.3695373535156,-455.7967834472656,11322.2763671875,6349.8623046875,-8674.6005859375
119534.85267311006,13945.923828125,5184.15185546875,4665.2783203125,-58.472164154052734,-357.78436279296875,11432.4921875,6402.97021484375,-8721.5615234375
119534.85623019931,13981.306640625,5152.52392578125,4573.14453125,382.6842041015625,-544.7567138671875,11302.2490234375,6280.81787109375,-8818.5009765625
119534.85989033645,14064.142578125,5162.98486328125,4320.94970703125,1241.9522705078125,-830.747314453125,11124.3740234375,6097.8466796875,-8814.1201171875
119534.86362692171,13982.55859375,5213.29833984375,4500.09912109375,475.37689208984375,-509.28448486328125,11313.134765625,6304.533203125,-8675.0029296875
119534.8674211364,13950.4609375,5177.6474609375,4645.921875,-21.3906192779541,-358.6784362792969,11391.298828125,6402.6572265625,-8704.4619140625
119534.87125940302,13982.201171875,5132.51953125,4603.67724609375,205.56900024414062,-474.95220947265625,11311.279296875,6326.4599609375,-8788.2587890625
119534.87513175525,14074.021484375,5154.513671875,4323.0732421875,1193.851318359375,-827.998046875,11077.994140625,6100.12646484375,-8838.0361328125
119534.87903076483,14003.4345703125,5223.6474609375,4436.08349609375,623.9042358398438,-560.62646484375,11250.125,6276.01220703125,-8677.4833984375
119534.88416739287,13939.8447265625,5183.4365234375,4646.5478515625,18.239023208618164,-360.93597412109375,11421.451171875,6396.48828125,-8698.0029296875
119534.8891362671,13961.525390625,5140.76708984375,4647.3076171875,78.65579223632812,-421.2633361816406,11370.064453125,6358.8701171875,-8776.4345703125
119534.89396697133,14068.03125,5137.1015625,4371.73291015625,1094.8778076171875,-793.956298828125,11143.7978515625,6120.1533203125,-8838.7734375
119534.8986829776,14016.0634765625,5192.71240234375,4424.30419921875,805.959228515625,-633.8284301757812,11241.384765625,6225.47509765625,-8684.79296875
119534.90330308666,13947.33203125,5176.39599609375,4635.751953125,60.41676712036133,-376.9398193359375,11389.0634765625,6388.70947265625,-8687.83203125
119534.90784248925,13953.2109375,5144.94677734375,4671.15673828125,-9.946526527404785,-379.71142578125,11380.1220703125,6378.47265625,-8760.341796875
119534.91231355816,14047.9599609375,5128.048828125,4433.669921875,937.2980346679688,-726.2305297851562,11170.59765625,6149.5908203125,-8874.044921875
