timestamp,thumb,index,middle,ring,pinky
0,0.89430743,0.8328485,0.773062,0.76195097,0.78718764
6,0.89633536,0.8295996,0.7725812,0.7615708,0.787478
12,0.89482397,0.83242494,0.77231675,0.7610364,0.78742486
22,0.8945471,0.8326778,0.7732509,0.7625713,0.78893346
30,0.892733,0.8287502,0.7723511,0.7623772,0.788055
37,0.89271533,0.83214605,0.7747443,0.7637778,0.7888511
44,0.89305,0.8314032,0.7763338,0.76431227,0.78868216
53,0.89215106,0.82648593,0.77379584,0.7631423,0.79082036
61,0.8922146,0.8289651,0.7760244,0.76433873,0.7885124
69,0.89271444,0.83129686,0.7774527,0.7659764,0.79053617
77,0.8943026,0.83010966,0.776325,0.7657734,0.792528
85,0.89255726,0.83070797,0.78114575,0.7693848,0.79689705
93,0.8950778,0.8307925,0.77676934,0.7670642,0.79424554
103,0.89494765,0.8318491,0.7782974,0.7697567,0.79487246
112,0.8934326,0.8318678,0.7759591,0.76615685,0.793502
122,0.8939177,0.8328354,0.77879983,0.7674813,0.7954614
131,0.8962283,0.832159,0.77558804,0.76473045,0.7908527
139,0.8905028,0.8337466,0.77642316,0.76390874,0.7922617
148,0.8914324,0.83329445,0.77709895,0.76584953,0.7930535
157,0.894307,0.8323833,0.7760644,0.7653996,0.792318
165,0.8916851,0.832001,0.774792,0.7633187,0.7906963
174,0.8932142,0.83194166,0.77119863,0.76066494,0.78857017
182,0.8917657,0.8313552,0.7702758,0.7585413,0.7836058
190,0.8937523,0.8336745,0.7724757,0.7631872,0.78933936
199,0.89597577,0.83172274,0.7680578,0.7575451,0.78311175
207,0.8947143,0.8319467,0.76919645,0.76092374,0.7873587
215,0.8971854,0.83568096,0.76736,0.75655013,0.7810919
223,0.8950333,0.8338317,0.76794016,0.7572807,0.781085
231,0.89369917,0.8328409,0.7675211,0.7577321,0.7852124
240,0.89848053,0.8290649,0.76370245,0.7550606,0.7787815
248,0.89833117,0.82899284,0.7616725,0.75305927,0.7805765
256,0.8975525,0.82710534,0.76377666,0.7563223,0.7830996
264,0.8986536,0.82752293,0.7621378,0.7529924,0.7790116
272,0.8969645,0.82760936,0.76077795,0.75115937,0.7791875
280,0.89658886,0.82493603,0.7592652,0.7504875,0.77865905
288,0.8960285,0.8294039,0.76179296,0.7522542,0.77754796
296,0.8970426,0.82514304,0.75998145,0.7519061,0.7792389
304,0.8984472,0.82416636,0.7583454,0.75023353,0.7789224
312,0.8997607,0.8282519,0.76194984,0.75392777,0.7815753
320,0.9011712,0.8254957,0.758878,0.7516045,0.7773932
328,0.8967144,0.826994,0.76182646,0.75318146,0.7823696
336,0.89964414,0.829099,0.76101506,0.75125223,0.77558684
344,0.89916056,0.82421494,0.75874835,0.74987626,0.77855766
352,0.8998525,0.827182,0.7613076,0.75014484,0.77594286
360,0.8938015,0.8243204,0.76153517,0.7520976,0.78258175
368,0.89532936,0.82766366,0.76444274,0.752574,0.7793307
376,0.9007992,0.82623214,0.7616937,0.75146085,0.7799016
384,0.8996981,0.82752943,0.7639957,0.75349236,0.78054315
392,0.8999745,0.82365334,0.76229864,0.7531937,0.78255594
400,0.901478,0.8269753,0.76150656,0.75244653,0.78273225
408,0.9001925,0.8238082,0.7614918,0.751692,0.779967
416,0.8981459,0.8272142,0.7617652,0.7519156,0.78214574
424,0.8961899,0.82460976,0.7649313,0.75542945,0.78483117
432,0.9023212,0.82240844,0.760682,0.75205964,0.7823959
440,0.89891213,0.8257857,0.7652191,0.7542473,0.7839242
448,0.8989026,0.8298262,0.76431936,0.75253075,0.77953184
456,0.899134,0.82111,0.7633036,0.7541747,0.78345954
464,0.8962393,0.8278992,0.7661556,0.75363195,0.78082055
472,0.9008302,0.8256652,0.7637852,0.75501996,0.78450394
480,0.89619535,0.82523406,0.7649656,0.75363165,0.7815621
488,0.8981745,0.82887673,0.7652481,0.75546914,0.78226143
496,0.89957327,0.8283536,0.765154,0.75584394,0.7845531
504,0.8983944,0.8281844,0.7669618,0.75732106,0.784005
512,0.9015279,0.83062905,0.7659297,0.75685006,0.7840272
520,0.9000924,0.8323894,0.76904327,0.7587734,0.78481454
528,0.89920473,0.8240359,0.7643954,0.7552615,0.7829172
536,0.89741296,0.8280078,0.7688959,0.75972897,0.7863356
544,0.89649016,0.8272939,0.7656666,0.75647277,0.7844496
552,0.89894897,0.8281289,0.7661541,0.75555813,0.78315634
560,0.89886874,0.8319315,0.7664659,0.7548498,0.78076
568,0.90086454,0.82585835,0.7659869,0.7567794,0.78722817
576,0.89222574,0.82491547,0.7665739,0.7541916,0.78079706
584,0.89860946,0.82512087,0.7644797,0.75588423,0.78711027
592,0.8877761,0.8290141,0.7687537,0.75311816,0.7775747
600,0.90099835,0.823672,0.76324934,0.7553392,0.7868592
608,0.890223,0.82583916,0.7680922,0.75382745,0.78074235
616,0.8975208,0.8251123,0.767275,0.7585778,0.7887898
624,0.89099824,0.823881,0.76788694,0.75599045,0.78501725
632,0.8988967,0.82280296,0.7632261,0.75585186,0.7861212
640,0.8909159,0.8256229,0.7651044,0.75371605,0.7825855
648,0.89484507,0.8224842,0.7627317,0.7542189,0.78466344
656,0.89338154,0.82449496,0.7629844,0.75114983,0.7784711
664,0.89514166,0.8252251,0.76256233,0.75179315,0.7808923
672,0.8933411,0.82612336,0.76513845,0.75349605,0.78249145
680,0.8977787,0.82562447,0.76236373,0.7537226,0.78222847
688,0.8911574,0.8260094,0.76476645,0.75190294,0.779892
696,0.8995753,0.8278983,0.76126915,0.7534608,0.782112
704,0.896139,0.8291986,0.7606187,0.75079376,0.77870107
712,0.8980088,0.83220565,0.7624849,0.75226086,0.7787256
720,0.89832157,0.8353723,0.76286364,0.753255,0.7795531
728,0.8993776,0.83622706,0.76385766,0.7536091,0.7794172
736,0.89956325,0.8317532,0.7603601,0.7518989,0.7786232
744,0.90143144,0.8306219,0.7587522,0.75143903,0.7778031
752,0.8983487,0.82968146,0.7602577,0.75156087,0.7782787
760,0.899014,0.8302134,0.7599955,0.75121254,0.77794707
768,0.9000448,0.83338046,0.75881195,0.754084,0.7812251
776,0.9002039,0.833964,0.7587214,0.7502896,0.7747404
784,0.8994372,0.83395797,0.75848293,0.75024235,0.7727908
792,0.90061843,0.833534,0.75946885,0.7513793,0.77718353
800,0.89873326,0.83121186,0.7578351,0.748007,0.76909643
807,0.90115255,0.8337444,0.75810754,0.7500372,0.77680075
815,0.89991295,0.8324706,0.7561857,0.7479743,0.7711638
823,0.90001804,0.8322924,0.7548064,0.74721414,0.77563965
831,0.90008384,0.83092225,0.7549138,0.7458373,0.76813155
839,0.90286416,0.834232,0.7555335,0.7486995,0.77634573
847,0.90019137,0.8325749,0.75634205,0.7465243,0.769839
855,0.9041608,0.8315652,0.75371903,0.7478849,0.7732136
863,0.9010927,0.83524257,0.75693905,0.7442712,0.7653243
871,0.90259457,0.8312187,0.7548689,0.74806947,0.7738229
879,0.8980268,0.837412,0.76037806,0.7462699,0.7660125
887,0.90375566,0.8328587,0.7551751,0.74925643,0.7740646
895,0.90246826,0.8342212,0.7588994,0.7506313,0.77611685
903,0.9001137,0.8334375,0.7593214,0.7508772,0.7743168
911,0.9031296,0.8356752,0.7585778,0.74913144,0.77355695
919,0.89642215,0.8322576,0.75735736,0.7501907,0.7741457
927,0.89875096,0.83497596,0.75769883,0.74736595,0.76986974
935,0.9017783,0.8340215,0.75660914,0.75045633,0.777148
943,0.9009343,0.8342043,0.75596,0.74774116,0.7713963
951,0.9035099,0.83231556,0.75592387,0.7484008,0.7741547
959,0.90090215,0.8337224,0.7568466,0.7507691,0.7755182
967,0.90191704,0.8359349,0.7585712,0.74885863,0.77164954
975,0.90160286,0.83242303,0.75766635,0.7519521,0.778154
983,0.9000717,0.83653635,0.759648,0.75347877,0.7762435
991,0.9019276,0.8366915,0.7591959,0.7520983,0.7773598
999,0.90266925,0.83075535,0.75568527,0.74788445,0.7741813
1007,0.9036973,0.83707416,0.7576462,0.74892616,0.77149105
1015,0.9025165,0.8317698,0.760223,0.75306743,0.7801977
1023,0.89989257,0.83300996,0.7564823,0.74739033,0.77077425
1031,0.9022253,0.8338015,0.7601245,0.7529276,0.77754706
1039,0.9032068,0.8313053,0.75545144,0.7452802,0.7674073
1047,0.9025899,0.8362949,0.75866187,0.7471736,0.7706152
1055,0.89932024,0.8347903,0.75778955,0.74829483,0.7698052
1063,0.9039385,0.8342246,0.75534344,0.74545455,0.77008337
1071,0.8971433,0.8367138,0.761752,0.74837655,0.76624066
1079,0.90289116,0.8405076,0.7575745,0.74395955,0.7656211
1087,0.90017354,0.8323251,0.7575937,0.7456566,0.76688266
1095,0.89858305,0.8378756,0.7566468,0.7432758,0.7650124
1103,0.8982212,0.8360994,0.75686836,0.7437967,0.7642109
1111,0.8999959,0.8382379,0.75705385,0.7445032,0.7672439
1119,0.9003131,0.83758,0.7554399,0.7437781,0.76561624
1127,0.89889634,0.8368227,0.75754803,0.7459284,0.7666303
1135,0.9021015,0.8375944,0.75886685,0.7450353,0.7671489
1143,0.90022975,0.83797413,0.75738573,0.74507725,0.7645943
1151,0.9022836,0.83678734,0.75758326,0.74354815,0.76297444
1159,0.89847195,0.8381798,0.7548753,0.740586,0.75884354
1167,0.8983529,0.83701825,0.75549203,0.7421882,0.76328856
1175,0.8986933,0.8348803,0.7560612,0.7429976,0.7638767
1183,0.89835715,0.8395694,0.75663537,0.74314237,0.76230705
1191,0.9004862,0.8398966,0.7579031,0.7451438,0.7656796
1199,0.8979955,0.83734834,0.7575465,0.7443225,0.7627242
1207,0.895737,0.84356916,0.7584741,0.7454141,0.766846
1215,0.8986013,0.8385722,0.7550247,0.7429826,0.7637556
1223,0.894966,0.8393068,0.75725836,0.74453723,0.765288
1231,0.89904684,0.83685935,0.75471246,0.74166507,0.7613368
1239,0.9028495,0.8379195,0.7576795,0.74455476,0.7640105
1247,0.89916897,0.8404825,0.75941485,0.745984,0.7664268
1255,0.904242,0.83880454,0.7549261,0.74146134,0.76050866
1263,0.90153146,0.8419071,0.7561379,0.7429263,0.76383424
1271,0.8958352,0.84329975,0.75705963,0.7420396,0.76129794
1279,0.9028927,0.8434247,0.7570718,0.74344075,0.7643955
1287,0.89902985,0.8370794,0.7547016,0.74269855,0.7638535
1295,0.9010079,0.840314,0.75735813,0.7428216,0.7629801
1303,0.9013338,0.8351386,0.7547689,0.7446833,0.7662544
1311,0.8995756,0.8382818,0.75837624,0.7455757,0.7656493
1319,0.90335923,0.83893037,0.7576046,0.7440203,0.76430553
1327,0.90265155,0.8375236,0.7594095,0.7454928,0.766531
1335,0.8988434,0.83894014,0.7593272,0.74564815,0.76465946
1343,0.90702194,0.83809704,0.75902593,0.7458551,0.767159
1351,0.89949524,0.84119403,0.7641296,0.74788505,0.76516056
1359,0.9053983,0.83564794,0.7598799,0.74740577,0.77046
1367,0.8976134,0.83876604,0.765185,0.74462426,0.7617112
1375,0.90413,0.8372399,0.75905794,0.7484117,0.7726738
1383,0.9004084,0.83592916,0.76083386,0.7459654,0.7649879
1391,0.9038881,0.83628774,0.75966287,0.7479338,0.77027166
1399,0.9022168,0.8382771,0.76453644,0.7479932,0.7684269
1407,0.9013844,0.83930254,0.7617871,0.7491583,0.770448
1415,0.90063953,0.83868736,0.76206595,0.74797356,0.7696219
1423,0.90471196,0.83956003,0.76316583,0.7505745,0.76953787
1431,0.89959174,0.8406339,0.76424277,0.74965894,0.7724902
1439,0.9025783,0.84097207,0.76346177,0.75116134,0.77201504
1447,0.89894086,0.83745486,0.762549,0.7488231,0.7716268
1455,0.89889205,0.83698773,0.7618877,0.74958706,0.7727477
1463,0.8996421,0.8379622,0.7611666,0.74922186,0.77186567
1471,0.90145713,0.8413541,0.7655002,0.75335306,0.77518404
1479,0.9004983,0.8408446,0.7651635,0.7532171,0.7777853
1487,0.8990567,0.8384576,0.7676874,0.75566494,0.7789439
1495,0.9013253,0.84032774,0.7661962,0.7537974,0.7764356
1503,0.89954144,0.8364164,0.7664839,0.75076795,0.7725098
1511,0.90092254,0.8367354,0.7650166,0.7531012,0.7765831
1519,0.8992101,0.83833605,0.76802605,0.7543271,0.7770472
1527,0.90150046,0.83850974,0.7668271,0.7541011,0.77684397
1535,0.89853936,0.8368806,0.76468015,0.7534012,0.7782146
1543,0.89719456,0.83489347,0.76528645,0.75283694,0.77684754
1550,0.8995621,0.8346164,0.76511085,0.7527028,0.7774702
1558,0.89936376,0.83844805,0.7655896,0.7539373,0.77807397
1566,0.89806336,0.83590776,0.766774,0.75347483,0.77753615
1574,0.9001654,0.83535373,0.7655688,0.75558126,0.78052497
1582,0.8993025,0.83508503,0.76358944,0.7539366,0.7798516
1590,0.89911395,0.8361295,0.7640287,0.7543877,0.7812302
1598,0.90283656,0.83695436,0.76397747,0.7555885,0.78255063
1606,0.90256727,0.83305013,0.76376474,0.7559143,0.7843625
1615,0.9008183,0.8368208,0.76454246,0.7531073,0.77736986
1622,0.9016694,0.8387387,0.76403797,0.75494266,0.7798862
1631,0.9013259,0.83490807,0.7618338,0.7519251,0.77558386
1639,0.9040436,0.8323312,0.75972515,0.7532943,0.7781958
1646,0.899334,0.83461934,0.7610454,0.7506586,0.7753372
1655,0.9013371,0.83334553,0.7607587,0.75266784,0.77703846
1663,0.8988899,0.8377224,0.7625012,0.75154036,0.7740223
1671,0.9012542,0.83567214,0.76048464,0.75189173,0.77630603
1679,0.90073144,0.830736,0.76025534,0.75365096,0.7788745
1687,0.9025957,0.8329115,0.75801414,0.75130445,0.7764028
1695,0.89852715,0.8335017,0.75910646,0.7505593,0.7734282
1703,0.9016114,0.8353362,0.7591121,0.75112736,0.77524316
1711,0.896912,0.8374889,0.7578132,0.74899495,0.7718126
1719,0.90005475,0.8349877,0.75823945,0.7484132,0.77125597
1727,0.8984168,0.83885443,0.75886226,0.74661225,0.767254
1735,0.9004677,0.83748513,0.7562479,0.74628,0.7684104
1743,0.9020222,0.8370727,0.75520855,0.7446607,0.7656035
1751,0.9001993,0.8367998,0.75559384,0.7460535,0.7693268
1759,0.89765173,0.8389184,0.75530636,0.74517983,0.7658184
1767,0.9028085,0.8396434,0.7567686,0.74651605,0.7694828
1775,0.89935386,0.8388671,0.7584051,0.7462289,0.7664298
1783,0.90117985,0.8396395,0.757311,0.7463054,0.7695626
1790,0.89854187,0.838316,0.75668854,0.7455744,0.7668108
1798,0.8984124,0.83789366,0.75522786,0.746737,0.77110237
1807,0.8980885,0.8399437,0.7559272,0.74460787,0.76586926
1815,0.89997035,0.83926815,0.7547646,0.74440706,0.7683533
1823,0.89938605,0.8405087,0.75512403,0.74488413,0.7656777
1831,0.90466624,0.83605045,0.75508326,0.7458119,0.7677632
1839,0.90302306,0.838857,0.75659895,0.74515235,0.76681715
1847,0.90215355,0.837949,0.7589004,0.74820954,0.76962787
1855,0.90123,0.8355073,0.75973284,0.749396,0.7694878
1863,0.90441114,0.8378587,0.7578307,0.74740386,0.76953655
1871,0.9012158,0.83836865,0.75962037,0.74740636,0.7675399
1879,0.9001709,0.84049577,0.759985,0.74769306,0.7687607
1887,0.89954954,0.8363834,0.75867903,0.7467176,0.7676845
1895,0.90102226,0.83648354,0.7563843,0.7469909,0.7702151
1903,0.89884126,0.84160304,0.75995135,0.7468382,0.76760644
1911,0.897686,0.8384754,0.7590862,0.74798024,0.77084005
1919,0.8994408,0.83827066,0.7586099,0.7448971,0.76661855
1927,0.8978372,0.83861226,0.75763917,0.7447303,0.76501316
1935,0.8987108,0.8410319,0.75736463,0.74434716,0.7663638
