timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,thumb,index,middle,ring,pinky
310465.477857375,0.00046932100667618215,0.009248614311218262,0.029420137405395508,0.06173820421099663,0.06328649818897247,0.0754629597067833,0.22230318188667297,0.3544287085533142,100.0,100.0,100.0,100.0,100.0
310465.510970667,0.0005801677471026778,0.015962600708007812,0.02643303945660591,0.05751967430114746,0.07841376960277557,0.1123027354478836,0.24405698478221893,0.3911878168582916,100.0,100.0,100.0,100.0,100.0
310465.544975334,0.0007168591255322099,0.013733601197600365,0.012555623427033424,0.059233952313661575,0.075936459004879,0.11611900478601456,0.2276238650083542,0.328171968460083,100.0,100.0,100.0,100.0,100.0
310465.576844292,0.0011370718711987138,0.014442896470427513,0.005347919650375843,0.05034627765417099,0.062194060534238815,0.11409034579992294,0.13490262627601624,0.23056264221668243,100.0,100.0,100.0,100.0,100.0
310465.609006334,0.001013553119264543,0.012501860037446022,0.011661624535918236,0.03802747651934624,0.06347522884607315,0.12989529967308044,0.16545647382736206,0.3118398189544678,100.0,100.0,100.0,100.0,100.0
310465.641790667,0.001966929528862238,0.010420012287795544,0.016309570521116257,0.024796295911073685,0.05692095682024956,0.10319256782531738,0.16355037689208984,0.4218198359012604,100.0,100.0,100.0,100.0,100.0
310465.674263292,0.0019414604175835848,0.00872867088764906,0.01753079891204834,0.014730215072631836,0.07258562743663788,0.07806964218616486,0.16689063608646393,0.3506101965904236,100.0,100.0,100.0,100.0,100.0
310465.706352,0.001260131597518921,0.006723594851791859,0.020246099680662155,0.02397293969988823,0.07675977051258087,0.0468689426779747,0.11837635189294815,0.2540155053138733,100.0,100.0,100.0,100.0,100.0
310465.73954525,0.0009235561010427773,0.003739261534065008,0.02655205689370632,0.017726469784975052,0.06895732879638672,0.059533167630434036,0.06119641661643982,0.13063912093639374,100.0,100.0,100.0,100.0,100.0
310465.771545209,0.0007693171501159668,0.0034300803672522306,0.031955838203430176,0.023214196786284447,0.06317458301782608,0.10975594818592072,0.17458534240722656,0.2506478726863861,100.0,100.0,100.0,100.0,100.0
310465.805815209,0.0017063558334484696,0.006193947978317738,0.023036599159240723,0.02440342865884304,0.07215843349695206,0.14416499435901642,0.27094680070877075,0.31768518686294556,100.0,100.0,100.0,100.0,100.0
310465.838257792,0.002430516527965665,0.008066415786743164,0.011328053660690784,0.01613297499716282,0.06993760913610458,0.1493760049343109,0.2318563461303711,0.23518414795398712,100.0,100.0,100.0,100.0,100.0
310465.870620292,0.00248259911313653,0.009180212393403053,0.02010371722280979,0.03448300436139107,0.0666075199842453,0.10780024528503418,0.15927265584468842,0.17998051643371582,100.0,100.0,100.0,100.0,100.0
