timestamp,thumb,index,middle,ring,pinky
0,0.6030575,0.93937624,0.70686907,0.9165523,0.9564911
9,0.6131645,0.9414015,0.70553577,0.9209747,0.9571377
20,0.6012791,0.9423951,0.7048568,0.92141885,0.9564701
26,0.61284995,0.9421263,0.7118926,0.92119515,0.9560021
33,0.596211,0.9422898,0.7154347,0.92555296,0.9591476
43,0.6050534,0.94237083,0.71778935,0.92162675,0.95811176
50,0.6042518,0.9427082,0.71141547,0.92220384,0.9569168
59,0.6075755,0.94169706,0.71917796,0.92267907,0.95631474
66,0.607318,0.9414517,0.7146657,0.92532486,0.9586604
73,0.59272283,0.94222766,0.71770227,0.9254205,0.95917666
82,0.6020842,0.94183844,0.71196514,0.9227279,0.9580593
90,0.6029855,0.94223416,0.72810566,0.92220473,0.95750403
97,0.6112745,0.94179636,0.72183216,0.92443395,0.95587736
106,0.6051652,0.94256,0.7270626,0.92202556,0.9576227
113,0.6105382,0.94259,0.72449225,0.9241843,0.9582878
122,0.61492807,0.9416171,0.73438615,0.9259,0.95596206
130,0.60532856,0.94276917,0.72339296,0.92241955,0.95734036
138,0.60177016,0.94372195,0.7182216,0.9265409,0.95782596
146,0.6076952,0.9423051,0.72606426,0.92486924,0.9592173
154,0.6050998,0.94133943,0.7309886,0.9209399,0.95731395
161,0.5993493,0.94253755,0.7297944,0.9261424,0.95880985
169,0.6007485,0.9411168,0.72694325,0.92649704,0.96239954
177,0.601654,0.9421769,0.72715473,0.9236285,0.96019506
185,0.6003583,0.9407245,0.722157,0.92658114,0.9595562
193,0.6094818,0.9420241,0.73053837,0.9214403,0.9591479
201,0.60071063,0.94292766,0.7232174,0.9192319,0.95839125
209,0.60001594,0.9448742,0.7307104,0.9229131,0.9622323
217,0.59506845,0.94417787,0.7232249,0.9235261,0.9641239
225,0.60493547,0.9439815,0.7177534,0.9187775,0.95960575
233,0.6037741,0.9455128,0.73628134,0.91805995,0.96156085
241,0.599199,0.94503653,0.72053534,0.9028621,0.96169746
249,0.60132223,0.9458202,0.71872795,0.9216388,0.9594023
257,0.6110232,0.94895816,0.7224369,0.887909,0.9630467
265,0.6147377,0.94896936,0.7305425,0.85936534,0.96328723
273,0.6147989,0.9503103,0.72213656,0.80678433,0.963907
281,0.6091495,0.9496513,0.7096422,0.7061564,0.9616223
289,0.60905594,0.95135707,0.7077102,0.7684883,0.96430826
297,0.61198264,0.9477247,0.7146069,0.68835455,0.95992124
305,0.5824567,0.9496689,0.69972885,0.66919297,0.9612654
313,0.58722174,0.9490339,0.7061241,0.671843,0.9591809
321,0.5740796,0.948178,0.6983487,0.67210156,0.9558262
329,0.5915615,0.9479936,0.7022953,0.6603283,0.96296054
337,0.5941146,0.9495055,0.7002606,0.6582424,0.96135867
345,0.5930203,0.95008975,0.7084498,0.67211974,0.95196044
353,0.58902997,0.94690317,0.70445895,0.6754727,0.95937383
361,0.5816054,0.9491214,0.7038893,0.66300714,0.9573418
369,0.60424614,0.9481899,0.72056115,0.68491983,0.9598924
377,0.5948946,0.949565,0.70925444,0.6838932,0.9611878
385,0.60880435,0.94795513,0.7132063,0.69332665,0.96470284
393,0.60556924,0.9499886,0.7088219,0.6902661,0.9668357
401,0.6050091,0.95119417,0.70481396,0.6865025,0.9626452
409,0.59873706,0.95264816,0.70181406,0.6719041,0.96508205
417,0.6085109,0.94992787,0.7153947,0.68237853,0.9638883
425,0.6072012,0.9496941,0.70995045,0.68462,0.9652395
433,0.59760493,0.9503896,0.7166381,0.6894742,0.964571
442,0.59508187,0.9499866,0.7094648,0.6775628,0.96054417
450,0.6088554,0.9498353,0.71111196,0.6917449,0.9586421
459,0.61097115,0.94939834,0.7104752,0.676364,0.95723176
467,0.60020304,0.95090526,0.70466805,0.66712475,0.95158863
476,0.60380405,0.95272136,0.70587754,0.6719366,0.9450405
484,0.6194997,0.95191365,0.7052266,0.6738591,0.94617295
493,0.6123845,0.95119953,0.68512356,0.6460989,0.93675745
501,0.6079323,0.95021,0.687487,0.6536167,0.931105
509,0.61430097,0.9484186,0.6867675,0.65542805,0.9327581
518,0.61401963,0.9465524,0.6938456,0.6616835,0.925483
526,0.5983715,0.9461848,0.6902471,0.6591361,0.92533654
534,0.593461,0.94772357,0.6827607,0.6572111,0.92204005
543,0.6024142,0.9494036,0.68459433,0.66009694,0.92523956
551,0.60627425,0.94598657,0.68738115,0.6624378,0.9253647
559,0.60123783,0.9431374,0.6791432,0.6534077,0.91525143
567,0.6018457,0.94618005,0.6828172,0.6562389,0.9212751
575,0.60543555,0.9441338,0.6836236,0.6589483,0.921527
584,0.615926,0.94602096,0.68625283,0.6622139,0.9218614
592,0.6182729,0.9453899,0.6839238,0.664559,0.91605365
