timestamp,thumb,index,middle,ring,pinky
0,0.5836391,0.66682285,0.94934416,0.64694554,0.61684316
6,0.58606714,0.6731111,0.94865066,0.6476634,0.6230455
20,0.5812917,0.6681773,0.9492729,0.6481264,0.6235626
30,0.5834342,0.6562855,0.95005715,0.6438649,0.61802644
44,0.59503967,0.6577718,0.94984573,0.6448691,0.61900395
55,0.59878045,0.6593447,0.94951844,0.64422476,0.6216875
65,0.6052914,0.64334923,0.94988745,0.6512432,0.62583923
73,0.6091915,0.65443504,0.95164853,0.6453942,0.6230333
82,0.58705175,0.6521589,0.9514564,0.64595795,0.62456846
89,0.582777,0.63620794,0.94969803,0.6457987,0.62474823
97,0.615666,0.6545345,0.95035326,0.6481215,0.62768316
105,0.5982433,0.6501135,0.94952655,0.64781,0.6256908
113,0.60772586,0.6448489,0.95194423,0.6436548,0.61955297
121,0.6120586,0.6473255,0.95269793,0.6451792,0.6236424
130,0.6046305,0.64888734,0.9497617,0.64029104,0.61956394
137,0.60800785,0.6485438,0.9483166,0.64505434,0.6248578
145,0.5973544,0.6355436,0.948849,0.64094144,0.61729777
154,0.58794224,0.6376612,0.9474911,0.64002806,0.62293667
161,0.56984216,0.6288025,0.94599086,0.6433225,0.62492174
169,0.56522936,0.6264595,0.94629365,0.6425049,0.62613785
178,0.55246943,0.6288705,0.94529915,0.6364402,0.61735356
186,0.548792,0.6303532,0.94512975,0.63451785,0.61564165
194,0.5501925,0.6341577,0.9448071,0.63483024,0.6216238
202,0.5406502,0.62665105,0.9442585,0.63554263,0.6195103
210,0.53162235,0.61841017,0.9455902,0.62984776,0.6147322
218,0.53653336,0.6166373,0.94585145,0.6286131,0.6140476
226,0.54357725,0.6248717,0.94528455,0.6336391,0.62127155
233,0.53485614,0.6199251,0.9461007,0.6291181,0.61339855
242,0.53488034,0.62191933,0.9458198,0.6254983,0.6071581
249,0.538467,0.6256094,0.9472148,0.63071907,0.6124267
258,0.54064244,0.620008,0.945701,0.6237073,0.6015857
265,0.5398691,0.6253022,0.9483352,0.63124305,0.6147643
273,0.53651625,0.6181847,0.94501024,0.62436104,0.60408545
281,0.5428862,0.6221031,0.9470429,0.62933207,0.6099897
289,0.5325093,0.624659,0.9483645,0.6290327,0.6142536
297,0.5380035,0.6153633,0.9471743,0.62561166,0.6059384
305,0.5394561,0.6195885,0.94718903,0.6352039,0.6172467
313,0.53224134,0.6103277,0.9464246,0.62631136,0.6060358
321,0.5327797,0.6135828,0.9478772,0.62897485,0.61233395
329,0.5284658,0.608973,0.9483176,0.6300847,0.617345
337,0.52819335,0.6111921,0.94961333,0.62641764,0.6134451
345,0.53252,0.6088907,0.9494391,0.6263203,0.61445
