timestamp,thumb,index,middle,ring,pinky
0,0.9475898,0.96719515,0.98232776,0.9747419,0.97153693
15,0.9561606,0.96744055,0.9805754,0.9743239,0.97445005
23,0.960107,0.96622527,0.9778531,0.97363895,0.97401273
32,0.96041965,0.9664966,0.9763004,0.9725232,0.97415745
40,0.95966303,0.965581,0.974333,0.9714902,0.9738202
47,0.9611757,0.96484977,0.97273344,0.97045106,0.9741141
55,0.9628481,0.96432173,0.97073185,0.96989393,0.9746825
65,0.9643678,0.96533614,0.9718873,0.9705178,0.9756643
72,0.9656205,0.965534,0.97179,0.96974003,0.97454107
79,0.9647818,0.9662039,0.97205883,0.9698502,0.97492695
89,0.96378016,0.9675369,0.9717682,0.9692349,0.9747591
96,0.96569216,0.96738666,0.9714648,0.96883124,0.97442627
104,0.9649589,0.9666989,0.9698899,0.96952254,0.9753143
112,0.9649492,0.9676726,0.9695378,0.9688163,0.97520894
120,0.9660269,0.9671206,0.9688846,0.96877086,0.97553587
128,0.9663081,0.9684155,0.96975374,0.9694549,0.9759157
136,0.9661883,0.9698406,0.97042274,0.97014725,0.9763082
144,0.9676456,0.9689752,0.9692028,0.9689918,0.97527474
152,0.9665271,0.96992534,0.9702516,0.97058034,0.9765979
160,0.9683368,0.96997726,0.9711216,0.97036475,0.97631234
168,0.96801263,0.9702679,0.9713105,0.9705579,0.9762786
176,0.96816266,0.9696738,0.97112894,0.9710246,0.97657424
184,0.96783817,0.9707884,0.9716013,0.9710791,0.9760976
192,0.9679653,0.9709247,0.97208506,0.97174853,0.9767351
200,0.96610826,0.9701047,0.9707486,0.97204083,0.9773744
208,0.9674332,0.96953815,0.9705915,0.9714201,0.97691953
216,0.9680424,0.969416,0.97113234,0.9707685,0.97582096
224,0.9674886,0.9704021,0.9694953,0.9704166,0.9757196
232,0.96795046,0.97093844,0.9701812,0.9703026,0.9749456
240,0.9676446,0.9707362,0.96950465,0.970349,0.97504175
247,0.96667093,0.9699805,0.96930504,0.97014767,0.97527677
255,0.9674607,0.9700569,0.969555,0.97029656,0.9744401
263,0.96847045,0.97008437,0.9697791,0.9702213,0.97428745
271,0.9688903,0.9702418,0.9695691,0.97000754,0.9741251
279,0.9677551,0.97080475,0.9701957,0.9705598,0.97431
287,0.9679552,0.97099656,0.9704756,0.9707949,0.9741738
295,0.9662762,0.9712704,0.9693842,0.9699367,0.97384036
303,0.96873796,0.9716173,0.9714617,0.9706465,0.9741838
311,0.96800715,0.97079664,0.9705477,0.9702325,0.97384185
319,0.9685191,0.971405,0.9708685,0.9708278,0.97448665
327,0.9675172,0.97063667,0.97122175,0.97070307,0.97397166
335,0.9670456,0.97101766,0.97063226,0.97012246,0.9740834
343,0.96625435,0.9709403,0.97100586,0.970434,0.97412705
351,0.9652317,0.97107387,0.971271,0.9714066,0.9744715
359,0.96630645,0.97163725,0.971296,0.97096515,0.9748266
368,0.9670508,0.9709824,0.97104394,0.970244,0.97408944
375,0.9650121,0.9711409,0.97065014,0.97056794,0.97467303
383,0.96517324,0.97065115,0.9710157,0.9709689,0.9741313
391,0.96501493,0.97010046,0.9705047,0.9720889,0.9750277
399,0.9647043,0.9706696,0.9715062,0.9723226,0.9754935
407,0.9641211,0.9707863,0.9713372,0.9720561,0.9749578
415,0.9651194,0.9706238,0.9714741,0.97268564,0.9756042
423,0.96339005,0.9715201,0.9717939,0.9722205,0.97521794
431,0.96398425,0.97100013,0.9714797,0.97201794,0.97483027
439,0.96277934,0.9708287,0.97177297,0.9726371,0.97527957
447,0.96169376,0.9698614,0.97107685,0.97168916,0.9744191
455,0.96147215,0.969861,0.9713721,0.97233146,0.9751912
463,0.9625098,0.9695902,0.97179514,0.9735475,0.9764826
471,0.9642054,0.97024435,0.97134143,0.97136474,0.9746027
479,0.964959,0.9703821,0.97193265,0.973155,0.9753068
487,0.9638674,0.97085655,0.97155154,0.9720709,0.9749046
495,0.9650695,0.970544,0.9717868,0.9722721,0.9742674
503,0.9641398,0.970105,0.9720081,0.9738241,0.9760246
511,0.9627521,0.9704004,0.9732141,0.9736571,0.9758305
519,0.9651106,0.96957505,0.9709326,0.9726856,0.9745144
527,0.96380013,0.9703921,0.97143984,0.9725094,0.9745107
