timestamp,thumb,index,middle,ring,pinky
200337041,1,0,0,1,1
200342046,0,1,0,1,1
200347051,1,1,0,0,0
200352056,1,0,1,1,1
200357059,1,1,0,1,1
200362063,0,1,0,0,0
200367065,1,1,0,0,0
200372069,1,0,1,0,0
200377073,0,0,0,0,0
200382078,0,0,1,0,0
200387083,1,1,1,0,0
200392087,1,1,1,1,1
200397092,1,0,0,0,0
200402096,0,0,1,1,1
200407101,0,1,1,1,1
200412106,0,1,0,1,1
200417110,1,0,1,1,1
200422115,1,1,0,1,1
200427119,0,0,0,1,1
200432124,0,1,1,0,0
200437129,1,0,0,1,1
200442133,1,1,1,0,0
200447137,0,1,0,0,0
200452141,0,0,1,1,1
200457145,1,1,0,1,1
200462150,0,1,0,1,1
200467155,0,1,1,0,0
200472159,1,0,0,1,1
200477164,1,1,0,0,0
200482169,0,0,1,0,0
200487174,0,0,0,0,0
200492179,0,1,1,1,1
200497184,1,0,1,1,1
